,id,conversation_id,actor_id,type,message
32,32,32,160434934,1,"Good evening Shout, this is Kevin and these last few months has left me feeling slightly anxious in relation to my current predicament with relationship, I am in need of words of advice,
 thank you."
33,33,33,497230373,1,"Hi Shout, I am Allison I am feeling a bit agitated"
34,34,34,645525266,1,It is all good
35,35,35,888476024,1,I need some help or guidance please
36,36,36,491532238,1,"Good afternoon Shout, this is Nicholas and I am feeling particularly enraged about my current situation with friends, I am wondering if I could get some advice or support with this,
 thank you."
37,37,37,032220509,1,I need some input please
38,38,38,893799501,1,"Sometimes I think i feel distressed, about my friends asking me questions...yeah, i would rather be playing tennis"
39,39,39,360170905,1,"I am feeling sort of unhappy right now. Is there any chance I could get some advice or support, 
 thank you, Lisa."
40,40,40,645966485,1,", this past month has left me feeling unusually enraged in relation to my current situ with life, I am in need of guidance,
 thank you."
41,41,41,077325508,1,It is all good
42,42,42,541275037,1,"Hi there, I am feeling pretty somber about my current situation with my parents, I am thinking if I could get some help or guidance with this,
 thank you."
43,43,43,086613342,1,"Elizabeth here. I am currently feeling extremely angry. Is there any chance I could get some input, 
 thank you."
44,44,44,237939700,1,"Adrian here. I am currently feeling a little worried. Is there any chance I could get some advice or support, 
 thank you."
45,45,45,520599787,1,I need some help please
46,46,46,631252906,1,"Hello Shout, I am feeling seriously agitated about my current situation at home, I am thinking if I could get some help with this,
 thank you."
47,47,47,118856898,1,It is all good
48,48,48,003523803,1,"Good afternoon Shout, this is Emma and I am feeling very distressed about my current situation with friends, I am wondering if I could get some advice or support with this,
 thank you."
49,49,49,774333620,1,"Hi Shout, I am Gina I am feeling a bit glum"
50,50,50,419432834,1,"I am feeling extremely frustrated right now. Is there any chance I could get some support, 
 thank you, Philip."
51,51,51,561269381,1,"Hello Shout, this is Destiny and this past week has left me feeling truly bad in relation to my current predicament at home, I am in need of help,
 thank you."
52,52,52,801815649,1,"Robert here. I am currently feeling extremely frustrated. Is there any chance I could get some input or advice, 
 thank you."
53,53,53,576581821,1,", this past month has left me feeling pretty somber in relation to my current situ with life, I am in need of guidance,
 thank you."
54,54,54,000796625,1,", this past month has left me feeling very distressed in relation to my situation with life, I am in need of guidance, 
 thank you, Katherine."
55,55,55,688042763,1,"Good afternoon Shout, I am feeling considerably stressed about my current situation with friends, I am wondering if I could get some advice or support with this,
 thank you, Jason."
56,56,56,692401175,1,"Sometimes I think i feel worried, about my friends asking me questions...yeah, i would rather be playing tennis"
57,57,57,591594108,1,It is all good
58,58,58,570450197,1,"Hi Shout, my name is Vincent, my cousin David is causing me to feel enraged"
59,59,59,667252642,1,", this past month has left me feeling reasonably glum in relation to my situation with life, I am in need of guidance, 
 thank you, Alejandra."
60,60,60,643137085,1,"Good afternoon Shout, these last few days has left me feeling unusually enraged in relation to my current situ with friends, I am in need of advice or support,
 thank you."
61,61,61,425197897,1,I need some advice please
62,62,62,430463938,1,I need some input please
63,63,63,867283251,1,"Hi Shout, I am Rachel I am feeling a bit miserable"
64,64,64,657051979,1,It is all good
65,65,65,332686265,1,"Sometimes I think i feel agitated, about my friends asking me questions...yeah, i would rather be playing tennis"
66,66,66,877127579,1,"Hello there, this week has left me feeling pretty somber in relation to my current situ in the matrix, I am in need of input or advice,
 thank you."
67,67,67,794238808,1,"Hi Shout, my name is Justin, my mother Christian is causing me to feel enraged"
68,68,68,230958663,1,"Julie here. I am currently feeling reasonably dismal. Is there any chance I could get some advice or support, 
 thank you."
69,69,69,605164557,1,It is all good
70,70,70,813059016,1,"Hi Shout, these last few weeks has left me feeling sort of unhappy in relation to my situation at the moment, I am in need of input, 
 thank you, John."
71,71,71,097313302,1,"Hey there, I am feeling slightly anxious about my current situation with my development as a person, I am inquiring if I could get some help or input with this,
 thank you."
72,72,72,398618668,1,"Gregory here. I am currently feeling reasonably dismal. Is there any chance I could get some input or advice, 
 thank you."
73,73,73,928598470,1,"Hi Shout, I am Emily I am feeling a bit dismal"
74,74,74,064216324,1,"Hi Shout, I am feeling considerably stressed about my current situation at the moment, I am pondering if I could get some input with this,
 thank you, Stephanie."
75,75,75,309074890,1,"Hi Shout, I am Melanie I am feeling a bit glum"
76,76,76,911431014,1,"Hi Shout, I am Roger I am feeling a bit sad"
77,77,77,523564773,1,"Amy here. I am currently feeling unusually enraged. Is there any chance I could get some support, 
 thank you."
78,78,78,431578370,1,"Hello there, I am feeling truly bad about my current situation in the matrix, I am pondering if I could get some input or advice with this,
 thank you, James."
79,79,79,601789537,1,"Hi there, these past few days has left me feeling unusually enraged in relation to my current situ with my parents, I am in need of help or guidance,
 thank you."
80,80,80,069344135,1,"Sometimes I think i feel somber, about my friends asking me questions...yeah, i would rather be playing tennis"
81,81,81,787736447,1,"Hi Shout, my name is Jeffrey, my brother James is causing me to feel dejected"
82,82,82,217455645,1,"Jonathan here. I am currently feeling particularly enraged. Is there any chance I could get some input or advice, 
 thank you."
83,83,83,222944569,1,"Hi Shout, I am Alexandria I am feeling a bit enraged"
84,84,84,216463132,1,"Good evening Shout, these last few months has left me feeling very distressed in relation to my situation with relationship, I am in need of words of advice, 
 thank you, Scott."
85,85,85,877515553,1,"Hi there, these past few days has left me feeling reasonably dismal in relation to my situation with my parents, I am in need of help or guidance, 
 thank you, James."
86,86,86,575884988,1,"Hi Shout, my name is Susan, my uncle Emily is causing me to feel dismal"
87,87,87,245804289,1,"Henry here. I am currently feeling considerably stressed. Is there any chance I could get some advice, 
 thank you."
88,88,88,806720950,1,"Good morning Shout, this last month has left me feeling reasonably dismal in relation to my situation with family, I am in need of support, 
 thank you, Thomas."
89,89,89,949652589,1,"Hi there, this is Andrew and these past few days has left me feeling quite upset in relation to my current predicament with my parents, I am in need of help or guidance,
 thank you."
90,90,90,749479814,1,"Good morning Shout, this last month has left me feeling deeply depressed in relation to my current situ with family, I am in need of support,
 thank you."
91,91,91,852701061,1,I need some help or input please
92,92,92,442648937,1,I need some words of advice please
93,93,93,200514724,1,"Hi Shout, I am Gregory I am feeling a bit agitated"
94,94,94,624694131,1,"I am feeling unusually enraged right now. Is there any chance I could get some help or input, 
 thank you, Roy."
95,95,95,285782139,1,", this is Stephanie and I am feeling particularly enraged about my current situation with life, I am pondering if I could get some guidance with this,
 thank you."
96,96,96,866465873,1,"Hi Shout, my name is Steven, my mother Jason is causing me to feel glum"
97,97,97,935056406,1,"Hey Shout, this is Helen and this last week has left me feeling particularly enraged in relation to my current predicament at work, I am in need of advice,
 thank you."
98,98,98,778242761,1,"Hi Shout, I am Ryan I am feeling a bit anxious"
99,99,99,212871122,1,"Hi Shout, these last few weeks has left me feeling awfully miserable in relation to my current situ at the moment, I am in need of input,
 thank you."
100,100,100,018949372,1,"Good evening Shout, this is Amber and I am feeling quite upset about my current situation with relationship, I am wondering if I could get some words of advice with this,
 thank you."
101,101,101,143492425,1,"Good afternoon Shout, these last few days has left me feeling reasonably dismal in relation to my current situ with friends, I am in need of advice or support,
 thank you."
102,102,102,626445026,1,"Good afternoon Shout, I am feeling fairly sad about my current situation with friends, I am thinking if I could get some advice or support with this,
 thank you."
103,103,103,266851524,1,"Hello there, this is Amber and this week has left me feeling a little worried in relation to my current predicament in the matrix, I am in need of input or advice,
 thank you."
104,104,104,879927226,1,"Hey there, this month has left me feeling extremely frustrated in relation to my situation with my development as a person, I am in need of help or input, 
 thank you, Kimberly."
105,105,105,818459160,1,"Jeremy here. I am currently feeling somewhat heartbroken. Is there any chance I could get some help, 
 thank you."
106,106,106,884752756,1,"Good evening Shout, I am feeling slightly anxious about my current situation with relationship, I am thinking if I could get some words of advice with this,
 thank you, Mark."
107,107,107,384521729,1,"Hi Shout, this is Julia and I am feeling reasonably glum about my current situation at the moment, I am wondering if I could get some input with this,
 thank you."
108,108,108,685662575,1,"Good morning Shout, this last month has left me feeling slightly anxious in relation to my current situ with family, I am in need of support,
 thank you."
109,109,109,146106536,1,"Good afternoon Shout, these last few days has left me feeling very distressed in relation to my situation with friends, I am in need of advice or support, 
 thank you, Rick."
110,110,110,579079395,1,"Good morning Shout, I am feeling seriously agitated about my current situation with family, I am pondering if I could get some support with this,
 thank you."
111,111,111,116401738,1,"Sometimes I think i feel anxious, about my friends asking me questions...yeah, i would rather be playing tennis"
112,112,112,328662113,1,I need some advice or support please
113,113,113,919000964,1,"Hi there, I am feeling a little worried about my current situation with my parents, I am inquiring if I could get some help or guidance with this,
 thank you."
114,114,114,427882709,1,"Good morning Shout, this last month has left me feeling seriously agitated in relation to my situation with family, I am in need of support, 
 thank you, Alec."
115,115,115,266431735,1,"Good afternoon Shout, these last few days has left me feeling reasonably glum in relation to my current situ with friends, I am in need of advice or support,
 thank you."
116,116,116,196678560,1,"Hi Shout, I am Jennifer I am feeling a bit depressed"
117,117,117,938936677,1,"Sometimes I think i feel somber, about my friends asking me questions...yeah, i would rather be playing tennis"
118,118,118,982180164,1,It is all good
119,119,119,771056010,1,"Hey Shout, this is Kathleen and I am feeling pretty somber about my current situation at work, I am wondering if I could get some advice with this,
 thank you."
120,120,120,460056328,1,"Hey Shout, this is Cody and I am feeling extremely frustrated about my current situation at work, I am pondering if I could get some advice with this,
 thank you."
121,121,121,438926434,1,"Good evening Shout, I am feeling kind of dejected about my current situation with relationship, I am thinking if I could get some words of advice with this,
 thank you, Victoria."
122,122,122,498129149,1,"Hi Shout, I am feeling slightly anxious about my current situation at the moment, I am wondering if I could get some input with this,
 thank you."
123,123,123,937107223,1,"Danielle here. I am currently feeling sort of unhappy. Is there any chance I could get some advice, 
 thank you."
124,124,124,372034240,1,"I am feeling extremely angry right now. Is there any chance I could get some words of advice, 
 thank you, Richard."
125,125,125,431900922,1,I need some support please
126,126,126,863814092,1,", I am feeling reasonably glum about my current situation with life, I am inquiring if I could get some guidance with this,
 thank you."
127,127,127,624656271,1,"Daniel here. I am currently feeling quite upset. Is there any chance I could get some input, 
 thank you."
128,128,128,723391180,1,"Hi Shout, these last few weeks has left me feeling very distressed in relation to my current situ at the moment, I am in need of input,
 thank you."
129,129,129,244091084,1,It is all good
130,130,130,831129831,1,"Monique here. I am currently feeling truly bad. Is there any chance I could get some advice, 
 thank you."
131,131,131,282703052,1,"Hi Shout, I am Michelle I am feeling a bit bad"
132,132,132,451551949,1,"I am feeling reasonably glum right now. Is there any chance I could get some advice or support, 
 thank you, James."
133,133,133,604516610,1,"Good morning Shout, I am feeling truly bad about my current situation with family, I am thinking if I could get some support with this,
 thank you."
134,134,134,032525861,1,"Jeffery here. I am currently feeling deeply depressed. Is there any chance I could get some input, 
 thank you."
135,135,135,252109420,1,I need some advice please
136,136,136,518984700,1,"I am feeling slightly anxious right now. Is there any chance I could get some input or advice, 
 thank you, Elizabeth."
137,137,137,149155719,1,"Hi Shout, my name is David, my grandfather Joseph is causing me to feel miserable"
138,138,138,644235482,1,"Sometimes I think i feel enraged, about my friends asking me questions...yeah, i would rather be playing tennis"
139,139,139,359917992,1,"Hi there, I am feeling pretty somber about my current situation with my parents, I am inquiring if I could get some help or guidance with this,
 thank you."
140,140,140,189034417,1,"Hi Shout, my name is Melissa, my sister Justin is causing me to feel depressed"
141,141,141,140700813,1,I need some words of advice please
142,142,142,242287863,1,"Justin here. I am currently feeling extremely frustrated. Is there any chance I could get some support, 
 thank you."
143,143,143,728346001,1,"Hi there, these past few days has left me feeling awfully miserable in relation to my current situ with my parents, I am in need of help or guidance,
 thank you."
144,144,144,537296486,1,"I am feeling deeply depressed right now. Is there any chance I could get some help or input, 
 thank you, Joel."
145,145,145,075247660,1,"Hi Shout, my name is Sandra, my uncle Erica is causing me to feel glum"
146,146,146,408783378,1,", this is Regina and I am feeling somewhat heartbroken about my current situation with life, I am inquiring if I could get some guidance with this,
 thank you."
147,147,147,644959512,1,", this past month has left me feeling deeply depressed in relation to my current situ with life, I am in need of guidance,
 thank you."
148,148,148,081094247,1,"Hello Shout, this past week has left me feeling a little worried in relation to my current situ at home, I am in need of help,
 thank you."
149,149,149,066207979,1,"Hi there, I am feeling considerably stressed about my current situation with my parents, I am wondering if I could get some help or guidance with this,
 thank you."
150,150,150,297505634,1,"I am feeling kind of dejected right now. Is there any chance I could get some support, 
 thank you, Deborah."
151,151,151,579821230,1,"Hi Shout, I am Kathryn I am feeling a bit sad"
152,152,152,332523536,1,I need some help or guidance please
153,153,153,783447604,1,I need some support please
154,154,154,514258831,1,"Sometimes I think i feel worried, about my friends asking me questions...yeah, i would rather be playing tennis"
155,155,155,052008584,1,"Hey there, this is Justin and I am feeling extremely frustrated about my current situation with my development as a person, I am pondering if I could get some help or input with this,
 thank you."
156,156,156,130738222,1,"Hi Shout, this is Allen and these last few weeks has left me feeling seriously agitated in relation to my current predicament at the moment, I am in need of input,
 thank you."
157,157,157,519617903,1,"Angelica here. I am currently feeling extremely angry. Is there any chance I could get some help, 
 thank you."
158,158,158,719347902,1,"Hello there, this week has left me feeling deeply depressed in relation to my situation in the matrix, I am in need of input or advice, 
 thank you, Justin."
159,159,159,470252233,1,"Hi Shout, my name is Robyn, my brother Rachael is causing me to feel sad"
160,160,160,658923225,1,"Good afternoon Shout, this is Angela and these last few days has left me feeling reasonably dismal in relation to my current predicament with friends, I am in need of advice or support,
 thank you."
161,161,161,627247096,1,It is all good
162,162,162,232002516,1,"Hi Shout, this is Michael and I am feeling sort of unhappy about my current situation at the moment, I am wondering if I could get some input with this,
 thank you."
163,163,163,480607512,1,"Sometimes I think i feel somber, about my friends asking me questions...yeah, i would rather be playing tennis"
164,164,164,180067066,1,"I am feeling slightly anxious right now. Is there any chance I could get some help or input, 
 thank you, Cristian."
165,165,165,834050428,1,"Hey Shout, I am feeling unusually enraged about my current situation at work, I am pondering if I could get some advice with this,
 thank you, Christopher."
166,166,166,466913396,1,"Sometimes I think i feel upset, about my friends asking me questions...yeah, i would rather be playing tennis"
167,167,167,487553543,1,"Good evening Shout, I am feeling kind of dejected about my current situation with relationship, I am inquiring if I could get some words of advice with this,
 thank you."
168,168,168,245880161,1,"Hi Shout, my name is Mary, my uncle Richard is causing me to feel sad"
169,169,169,039470261,1,"Hi Shout, I am Melissa I am feeling a bit enraged"
170,170,170,004884065,1,"Good evening Shout, these last few months has left me feeling a little worried in relation to my current situ with relationship, I am in need of words of advice,
 thank you."
171,171,171,645336509,1,", I am feeling pretty somber about my current situation with life, I am wondering if I could get some guidance with this,
 thank you."
172,172,172,041575072,1,"Hi Shout, I am Philip I am feeling a bit enraged"
173,173,173,943211209,1,"Hey there, this is Nicholas and I am feeling quite upset about my current situation with my development as a person, I am thinking if I could get some help or input with this,
 thank you."
174,174,174,744708691,1,"Hi Shout, this is Lauren and these last few weeks has left me feeling truly bad in relation to my current predicament at the moment, I am in need of input,
 thank you."
175,175,175,048194268,1,"Good afternoon Shout, this is Edward and I am feeling slightly anxious about my current situation with friends, I am thinking if I could get some advice or support with this,
 thank you."
176,176,176,954939754,1,I need some help please
177,177,177,864439841,1,It is all good
178,178,178,676908939,1,"Hi Shout, these last few weeks has left me feeling deeply depressed in relation to my current situ at the moment, I am in need of input,
 thank you."
179,179,179,731836889,1,"I am feeling particularly enraged right now. Is there any chance I could get some help or input, 
 thank you, Denise."
180,180,180,833346020,1,"Hi Shout, these last few weeks has left me feeling reasonably glum in relation to my situation at the moment, I am in need of input, 
 thank you, Barbara."
181,181,181,064830898,1,I need some support please
182,182,182,453271172,1,I need some help please
183,183,183,521664170,1,"Sometimes I think i feel dismal, about my friends asking me questions...yeah, i would rather be playing tennis"
184,184,184,253483639,1,I need some advice or support please
185,185,185,378120003,1,It is all good
186,186,186,416438680,1,It is all good
187,187,187,272230662,1,I need some support please
188,188,188,847400427,1,"Hi Shout, I am James I am feeling a bit frustrated"
189,189,189,417341664,1,"Good evening Shout, I am feeling reasonably dismal about my current situation with relationship, I am inquiring if I could get some words of advice with this,
 thank you, Jimmy."
190,190,190,290510346,1,", I am feeling extremely frustrated about my current situation with life, I am pondering if I could get some guidance with this,
 thank you."
191,191,191,812996407,1,"Hello Shout, this past week has left me feeling reasonably dismal in relation to my situation at home, I am in need of help, 
 thank you, Sarah."
192,192,192,364073310,1,"Hi Shout, my name is Robert, my grandmother Luis is causing me to feel miserable"
193,193,193,968363044,1,"Hey Shout, this is Amy and this last week has left me feeling awfully miserable in relation to my current predicament at work, I am in need of advice,
 thank you."
194,194,194,519026121,1,"Hello there, I am feeling extremely angry about my current situation in the matrix, I am wondering if I could get some input or advice with this,
 thank you."
195,195,195,500900626,1,"Hey there, I am feeling considerably stressed about my current situation with my development as a person, I am pondering if I could get some help or input with this,
 thank you, Raymond."
196,196,196,536784318,1,It is all good
197,197,197,533103893,1,"Hi Shout, I am Sarah I am feeling a bit distressed"
198,198,198,417427498,1,"Hello there, this is Carlos and this week has left me feeling quite upset in relation to my current predicament in the matrix, I am in need of input or advice,
 thank you."
199,199,199,861002753,1,I need some input please
200,200,200,005095034,1,"Sometimes I think i feel distressed, about my friends asking me questions...yeah, i would rather be playing tennis"
201,201,201,016009355,1,"Hi Shout, my name is Michael, my grandmother Sherri is causing me to feel miserable"
202,202,202,904758071,1,It is all good
203,203,203,941741562,1,"I am feeling truly bad right now. Is there any chance I could get some input or advice, 
 thank you, Debbie."
204,204,204,132254624,1,"Good afternoon Shout, I am feeling quite upset about my current situation with friends, I am thinking if I could get some advice or support with this,
 thank you."
205,205,205,563738451,1,"Hi Shout, these last few weeks has left me feeling extremely angry in relation to my current situ at the moment, I am in need of input,
 thank you."
206,206,206,270442989,1,"Hi Shout, my name is Mark, my father Nicholas is causing me to feel agitated"
207,207,207,556001308,1,"I am feeling awfully miserable right now. Is there any chance I could get some words of advice, 
 thank you, Cynthia."
208,208,208,140490172,1,"Hi Shout, my name is Brian, my son Robert is causing me to feel distressed"
209,209,209,617277429,1,"Tiffany here. I am currently feeling particularly enraged. Is there any chance I could get some advice, 
 thank you."
210,210,210,597378690,1,"Hey Shout, this is Elizabeth and I am feeling slightly anxious about my current situation at work, I am wondering if I could get some advice with this,
 thank you."
211,211,211,969342333,1,"Hi Shout, my name is Emily, my brother Kelly is causing me to feel anxious"
212,212,212,806698114,1,"I am feeling sort of unhappy right now. Is there any chance I could get some help or guidance, 
 thank you, Timothy."
213,213,213,819960269,1,"Hi there, these past few days has left me feeling extremely angry in relation to my situation with my parents, I am in need of help or guidance, 
 thank you, Alfred."
214,214,214,150287091,1,"Good afternoon Shout, this is Joseph and these last few days has left me feeling awfully miserable in relation to my current predicament with friends, I am in need of advice or support,
 thank you."
215,215,215,827003895,1,I need some help please
216,216,216,299402082,1,"Sometimes I think i feel frustrated, about my friends asking me questions...yeah, i would rather be playing tennis"
217,217,217,658366924,1,"Good evening Shout, I am feeling reasonably glum about my current situation with relationship, I am thinking if I could get some words of advice with this,
 thank you."
218,218,218,323563345,1,"Hi there, I am feeling fairly sad about my current situation with my parents, I am wondering if I could get some help or guidance with this,
 thank you, Bill."
219,219,219,130790490,1,"Good morning Shout, this last month has left me feeling truly bad in relation to my situation with family, I am in need of support, 
 thank you, Ryan."
220,220,220,334634857,1,"Good morning Shout, this is Michael and this last month has left me feeling unusually enraged in relation to my current predicament with family, I am in need of support,
 thank you."
221,221,221,394092656,1,"Hi Shout, I am Robert I am feeling a bit agitated"
222,222,222,941826407,1,"Hello Shout, I am feeling reasonably glum about my current situation at home, I am inquiring if I could get some help with this,
 thank you."
223,223,223,475220264,1,I need some help please
224,224,224,959623207,1,"I am feeling awfully miserable right now. Is there any chance I could get some guidance, 
 thank you, Jodi."
225,225,225,109118117,1,"Hey there, this is Tara and this month has left me feeling reasonably glum in relation to my current predicament with my development as a person, I am in need of help or input,
 thank you."
226,226,226,348789980,1,"Hey there, this is Anna and this month has left me feeling fairly sad in relation to my current predicament with my development as a person, I am in need of help or input,
 thank you."
227,227,227,083983873,1,", this is Christopher and this past month has left me feeling particularly enraged in relation to my current predicament with life, I am in need of guidance,
 thank you."
228,228,228,091796044,1,It is all good
229,229,229,518481503,1,"Hi Shout, I am Ashley I am feeling a bit dejected"
230,230,230,571879296,1,It is all good
231,231,231,197118781,1,"Sometimes I think i feel miserable, about my friends asking me questions...yeah, i would rather be playing tennis"
232,232,232,969729662,1,"Sometimes I think i feel stressed, about my friends asking me questions...yeah, i would rather be playing tennis"
233,233,233,852290191,1,It is all good
234,234,234,442448757,1,", I am feeling fairly sad about my current situation with life, I am thinking if I could get some guidance with this,
 thank you, Jennifer."
235,235,235,180313696,1,"Hello there, this is Megan and I am feeling extremely frustrated about my current situation in the matrix, I am thinking if I could get some input or advice with this,
 thank you."
236,236,236,360068590,1,I need some words of advice please
237,237,237,225774711,1,"Hi Shout, my name is Bradley, my cousin George is causing me to feel distressed"
238,238,238,578289103,1,"Hi Shout, my name is Amanda, my brother Kaitlyn is causing me to feel enraged"
239,239,239,703913490,1,"Hi Shout, these last few weeks has left me feeling fairly sad in relation to my situation at the moment, I am in need of input, 
 thank you, Ronald."
240,240,240,247856798,1,"Amber here. I am currently feeling somewhat heartbroken. Is there any chance I could get some words of advice, 
 thank you."
241,241,241,719316336,1,"Hi Shout, my name is Anna, my cousin Stephanie is causing me to feel miserable"
242,242,242,856388212,1,"Hi Shout, these last few weeks has left me feeling extremely angry in relation to my situation at the moment, I am in need of input, 
 thank you, Teresa."
243,243,243,556711644,1,", this past month has left me feeling extremely angry in relation to my current situ with life, I am in need of guidance,
 thank you."
244,244,244,206143498,1,It is all good
245,245,245,240921994,1,"Hello there, this week has left me feeling fairly sad in relation to my current situ in the matrix, I am in need of input or advice,
 thank you."
246,246,246,339953822,1,"Good evening Shout, this is Jacob and these last few months has left me feeling reasonably glum in relation to my current predicament with relationship, I am in need of words of advice,
 thank you."
247,247,247,565108318,1,"Hi Shout, my name is Laurie, my grandfather Eric is causing me to feel heartbroken"
248,248,248,816535679,1,"Hi there, I am feeling fairly sad about my current situation with my parents, I am pondering if I could get some help or guidance with this,
 thank you."
249,249,249,791643969,1,It is all good
250,250,250,819778733,1,"Hello there, this is Thomas and this week has left me feeling extremely frustrated in relation to my current predicament in the matrix, I am in need of input or advice,
 thank you."
251,251,251,630104885,1,"Natalie here. I am currently feeling considerably stressed. Is there any chance I could get some support, 
 thank you."
252,252,252,887842270,1,"Hey there, this is Kristen and I am feeling seriously agitated about my current situation with my development as a person, I am pondering if I could get some help or input with this,
 thank you."
253,253,253,689005226,1,"Good afternoon Shout, this is Patrick and I am feeling somewhat heartbroken about my current situation with friends, I am inquiring if I could get some advice or support with this,
 thank you."
254,254,254,427619197,1,It is all good
255,255,255,964490518,1,"Hi Shout, I am Sara I am feeling a bit miserable"
256,256,256,786000092,1,"Good afternoon Shout, I am feeling kind of dejected about my current situation with friends, I am inquiring if I could get some advice or support with this,
 thank you, Tracey."
257,257,257,194607600,1,It is all good
258,258,258,085217870,1,"I am feeling very distressed right now. Is there any chance I could get some help or input, 
 thank you, Tiffany."
259,259,259,037650910,1,I need some words of advice please
260,260,260,305343225,1,"Good morning Shout, this last month has left me feeling pretty somber in relation to my current situ with family, I am in need of support,
 thank you."
261,261,261,766833922,1,"Hi Shout, my name is Penny, my cousin Randall is causing me to feel upset"
262,262,262,388928927,1,"Christopher here. I am currently feeling very distressed. Is there any chance I could get some help or input, 
 thank you."
263,263,263,277545641,1,"Hi Shout, I am feeling reasonably glum about my current situation at the moment, I am wondering if I could get some input with this,
 thank you, Michael."
264,264,264,937246215,1,", I am feeling particularly enraged about my current situation with life, I am pondering if I could get some guidance with this,
 thank you, Nicholas."
265,265,265,686327250,1,"Hi Shout, these last few weeks has left me feeling particularly enraged in relation to my situation at the moment, I am in need of input, 
 thank you, Adam."
266,266,266,608795809,1,"Hi Shout, I am Allen I am feeling a bit heartbroken"
267,267,267,538284097,1,"Good afternoon Shout, I am feeling reasonably dismal about my current situation with friends, I am wondering if I could get some advice or support with this,
 thank you."
268,268,268,997535155,1,"Hi Shout, my name is Rebecca, my grandmother Julia is causing me to feel upset"
269,269,269,562928893,1,"Hello Shout, this is Jacob and I am feeling a little worried about my current situation at home, I am wondering if I could get some help with this,
 thank you."
270,270,270,640144053,1,"Hey Shout, this last week has left me feeling extremely frustrated in relation to my current situ at work, I am in need of advice,
 thank you."
271,271,271,292113728,1,It is all good
272,272,272,431715835,1,"Diane here. I am currently feeling slightly anxious. Is there any chance I could get some help or input, 
 thank you."
273,273,273,134777811,1,"Hi Shout, my name is Laura, my son Michael is causing me to feel enraged"
274,274,274,244004154,1,"Hi Shout, I am Chad I am feeling a bit dejected"
